paper_slug,district,question_no,module,module_name,module_confidence,review_reason,candidate_1,candidate_2,candidate_3,question_file,source_md,prompt_preview
2026-26届-嘉定-二模,嘉定,7,02-函数与导数,函数与导数,1,"low_confidence,small_margin",02-函数与导数:函数与导数:1,01-集合复数与逻辑:集合复数与逻辑:0,03-三角与向量:三角与向量:0,/Users/tangchengbaiair/Downloads/试卷切片库/数学切片样例/2026-26届-六区二模-mvp/2026-26届-嘉定-二模/02-函数与导数/2026-26届-嘉定-二模-Q07-函数与导数-题目.md,/Users/tangchengbaiair/Downloads/mini-数学资料库/0-一模-二模-模考试卷-md版本/2026届嘉定区高三下二模数学试卷（解析版）/2026届嘉定区高三下二模数学试卷（解析版）-dollar.md,7. 函数 $y = {\sin }^{4}x + {\cos }^{4}x$ 的最小正周期是___.
2026-26届-嘉定-二模,嘉定,9,03-三角与向量,三角与向量,1,"low_confidence,small_margin",03-三角与向量:三角与向量:1,01-集合复数与逻辑:集合复数与逻辑:0,02-函数与导数:函数与导数:0,/Users/tangchengbaiair/Downloads/试卷切片库/数学切片样例/2026-26届-六区二模-mvp/2026-26届-嘉定-二模/03-三角与向量/2026-26届-嘉定-二模-Q09-三角与向量-题目.md,/Users/tangchengbaiair/Downloads/mini-数学资料库/0-一模-二模-模考试卷-md版本/2026届嘉定区高三下二模数学试卷（解析版）/2026届嘉定区高三下二模数学试卷（解析版）-dollar.md,"9. 已知向量 $\overrightarrow{a} = \left( {\cos x,\sin x}\right) ,\overrightarrow{b} = \left( {3,\sqrt{3}}\right)$ ，且 $x \in "
2026-26届-嘉定-二模,嘉定,14,02-函数与导数,函数与导数,2,small_margin,02-函数与导数:函数与导数:2,07-概率统计:概率统计:1,01-集合复数与逻辑:集合复数与逻辑:0,/Users/tangchengbaiair/Downloads/试卷切片库/数学切片样例/2026-26届-六区二模-mvp/2026-26届-嘉定-二模/02-函数与导数/2026-26届-嘉定-二模-Q14-函数与导数-题目.md,/Users/tangchengbaiair/Downloads/mini-数学资料库/0-一模-二模-模考试卷-md版本/2026届嘉定区高三下二模数学试卷（解析版）/2026届嘉定区高三下二模数学试卷（解析版）-dollar.md,"14. 生物学家在研究动物体重 $W$ (单位: $\mathrm{g}$ ) 与脉搏率 $f$ (单位: 次 $\cdot  {\mathrm{{min}}}^{-1}$ ) 的关系时,获得了右表的数据, 令 $x = \ln W,\;y"
2026-26届-嘉定-二模,嘉定,16,03-三角与向量,三角与向量,2,small_margin,03-三角与向量:三角与向量:2,05-立体几何与空间向量:立体几何与空间向量:1,01-集合复数与逻辑:集合复数与逻辑:0,/Users/tangchengbaiair/Downloads/试卷切片库/数学切片样例/2026-26届-六区二模-mvp/2026-26届-嘉定-二模/03-三角与向量/2026-26届-嘉定-二模-Q16-三角与向量-题目.md,/Users/tangchengbaiair/Downloads/mini-数学资料库/0-一模-二模-模考试卷-md版本/2026届嘉定区高三下二模数学试卷（解析版）/2026届嘉定区高三下二模数学试卷（解析版）-dollar.md,"16. 对任意平面向量 $\overrightarrow{a}\text{ 、 }\overrightarrow{b}\text{ 、 }\overrightarrow{c}$ 及任意实数 $\lambda$ ,已知运算 $\odot$ 满"
2026-26届-嘉定-二模,嘉定,18,05-立体几何与空间向量,立体几何与空间向量,5,small_margin,05-立体几何与空间向量:立体几何与空间向量:5,03-三角与向量:三角与向量:4,01-集合复数与逻辑:集合复数与逻辑:0,/Users/tangchengbaiair/Downloads/试卷切片库/数学切片样例/2026-26届-六区二模-mvp/2026-26届-嘉定-二模/05-立体几何与空间向量/2026-26届-嘉定-二模-Q18-立体几何与空间向量-题目.md,/Users/tangchengbaiair/Downloads/mini-数学资料库/0-一模-二模-模考试卷-md版本/2026届嘉定区高三下二模数学试卷（解析版）/2026届嘉定区高三下二模数学试卷（解析版）-dollar.md,18. 如图，在 $\bigtriangleup  {ABC}$ 中， $\angle {ACB} = {90}^{ \circ  }$ ， ${DA}\bot$ 平面 ${ABC}$ ， $M$ ， $N$ 分别是线段 ${AC}$ 、 
2026-26届-奉贤-二模,奉贤,3,03-三角与向量,三角与向量,0,"zero_score_fallback,low_confidence,small_margin,tie_break",01-集合复数与逻辑:集合复数与逻辑:0,02-函数与导数:函数与导数:0,03-三角与向量:三角与向量:0,/Users/tangchengbaiair/Downloads/试卷切片库/数学切片样例/2026-26届-六区二模-mvp/2026-26届-奉贤-二模/03-三角与向量/2026-26届-奉贤-二模-Q03-三角与向量-题目.md,/Users/tangchengbaiair/Downloads/mini-数学资料库/0-一模-二模-模考试卷-md版本/2026届奉贤区高三下二模数学试卷（解析版）/2026届奉贤区高三下二模数学试卷（解析版）-dollar.md,3. 在 ${\left( x + \frac{1}{x}\right) }^{5}$ 的展开式中， $x$ 的系数为___.
2026-26届-奉贤-二模,奉贤,4,02-函数与导数,函数与导数,0,"zero_score_fallback,low_confidence,small_margin,tie_break",01-集合复数与逻辑:集合复数与逻辑:0,02-函数与导数:函数与导数:0,03-三角与向量:三角与向量:0,/Users/tangchengbaiair/Downloads/试卷切片库/数学切片样例/2026-26届-六区二模-mvp/2026-26届-奉贤-二模/02-函数与导数/2026-26届-奉贤-二模-Q04-函数与导数-题目.md,/Users/tangchengbaiair/Downloads/mini-数学资料库/0-一模-二模-模考试卷-md版本/2026届奉贤区高三下二模数学试卷（解析版）/2026届奉贤区高三下二模数学试卷（解析版）-dollar.md,"4. 若直线 $\left( {a - 1}\right) x + y - 1 = 0$ 与直线 ${3x} - y = 0$ 平行,则实数 $a$ 的值为___."
2026-26届-奉贤-二模,奉贤,9,04-数列与不等式,数列与不等式,0,"zero_score_fallback,low_confidence,small_margin,tie_break",01-集合复数与逻辑:集合复数与逻辑:0,02-函数与导数:函数与导数:0,03-三角与向量:三角与向量:0,/Users/tangchengbaiair/Downloads/试卷切片库/数学切片样例/2026-26届-六区二模-mvp/2026-26届-奉贤-二模/04-数列与不等式/2026-26届-奉贤-二模-Q09-数列与不等式-题目.md,/Users/tangchengbaiair/Downloads/mini-数学资料库/0-一模-二模-模考试卷-md版本/2026届奉贤区高三下二模数学试卷（解析版）/2026届奉贤区高三下二模数学试卷（解析版）-dollar.md,"9. 从 6 名男生和 4 名女生中选出 3 人参加人工智能技能培训. 设事件 $A$ :至少抽到一名女生，事件 $B$ :恰好抽到一名男生,则 $P\left( {B \mid  A}\right)  =$ ___."
2026-26届-奉贤-二模,奉贤,12,03-三角与向量,三角与向量,1,"low_confidence,small_margin,tie_break",03-三角与向量:三角与向量:1,05-立体几何与空间向量:立体几何与空间向量:1,01-集合复数与逻辑:集合复数与逻辑:0,/Users/tangchengbaiair/Downloads/试卷切片库/数学切片样例/2026-26届-六区二模-mvp/2026-26届-奉贤-二模/03-三角与向量/2026-26届-奉贤-二模-Q12-三角与向量-题目.md,/Users/tangchengbaiair/Downloads/mini-数学资料库/0-一模-二模-模考试卷-md版本/2026届奉贤区高三下二模数学试卷（解析版）/2026届奉贤区高三下二模数学试卷（解析版）-dollar.md,"12. 在平面直角坐标系 ${xOy}$ 中,点 $A\left( {\cos \theta ,\sin \theta }\right) , B\left( {-\sin \theta ,\cos \theta }\right) ,\the"
2026-26届-奉贤-二模,奉贤,13,04-数列与不等式,数列与不等式,1,"low_confidence,small_margin",04-数列与不等式:数列与不等式:1,01-集合复数与逻辑:集合复数与逻辑:0,02-函数与导数:函数与导数:0,/Users/tangchengbaiair/Downloads/试卷切片库/数学切片样例/2026-26届-六区二模-mvp/2026-26届-奉贤-二模/04-数列与不等式/2026-26届-奉贤-二模-Q13-数列与不等式-题目.md,/Users/tangchengbaiair/Downloads/mini-数学资料库/0-一模-二模-模考试卷-md版本/2026届奉贤区高三下二模数学试卷（解析版）/2026届奉贤区高三下二模数学试卷（解析版）-dollar.md,"13. 已知 $a > b > 0 > c$ ,则下列不等式成立的是( )"
